x,¼¤·¢,·¢Éä
300,79.373,0
301,80.166,0
302,81.564,0
303,82.957,0
304,84.34,0
305,85.708,0
306,87.057,0
307,88.384,0
308,89.683,0
309,90.949,0
310,92.178,0
311,93.363,0
312,94.498,0
313,95.577,0
314,96.592,0
315,97.534,0
316,98.394,0
317,99.161,0
318,99.823,0
319,100.363,0
320,100.766,0
321,101.009,0
322,101.066,0
323,100.904,0
324,100.481,0
325,99.741,0
326,98.606,0
327,96.965,0
328,94.697,0
329,91.778,0
330,88.272,0
331,84.343,0
332,80.239,0
333,76.216,0
334,72.473,0
335,69.119,0
336,66.194,0
337,63.692,0
338,61.584,0
339,59.836,0
340,58.409,0
341,57.268,0
342,56.382,0
343,55.725,0
344,55.271,0
345,55.001,0
346,54.896,0
347,54.941,0
348,55.123,0
349,55.429,0
350,55.845,0
351,56.353,0
352,56.941,0
353,57.598,0
354,58.315,0
355,59.085,0
356,59.901,0
357,60.758,0
358,61.652,0
359,62.577,0
360,63.531,0
361,64.51,0
362,65.511,0
363,66.531,0
364,67.568,0
365,68.62,0
366,69.684,0
367,70.758,0
368,71.841,0
369,72.93,0
370,74.024,0
371,75.122,0
372,76.221,0
373,77.32,0
374,78.418,0
375,79.513,0
376,80.603,0
377,81.688,0
378,82.765,0
379,83.833,0
380,84.891,0
381,85.936,0
382,86.968,0
383,87.985,0
384,88.984,0
385,89.965,0
386,90.925,0
387,91.861,0
388,92.773,0
389,93.657,0
390,94.512,0
391,95.333,0
392,96.12,0
393,96.867,0
394,97.573,0
395,98.233,0
396,98.842,0
397,99.396,0
398,99.889,0
399,100.316,0
400,100.669,0
401,100.94,0
402,101.118,0
403,101.194,0
404,101.153,0
405,100.978,0
406,100.655,0
407,100.174,0
408,99.524,0
409,98.695,0
410,97.675,0
411,96.455,0
412,95.026,0
413,93.381,0
414,91.515,0
415,89.429,0
416,87.127,0
417,84.62,0
418,81.923,0
419,79.06,0.033
420,76.059,0.342
421,72.954,0.648
422,69.78,0.952
423,66.575,1.255
424,63.373,1.559
425,60.204,1.864
426,57.097,2.173
427,54.073,2.487
428,51.149,2.806
429,48.337,3.133
430,45.647,3.469
431,43.081,3.815
432,40.644,4.172
433,38.334,4.542
434,36.15,4.927
435,34.089,5.327
436,32.148,5.745
437,30.323,6.182
438,28.609,6.639
439,27.002,7.118
440,25.497,7.62
441,24.09,8.148
442,22.774,8.703
443,21.542,9.287
444,20.385,9.902
445,19.296,10.548
446,18.27,11.23
447,17.301,11.947
448,16.386,12.703
449,15.52,13.5
450,14.7,14.34
451,13.922,15.225
452,13.185,16.157
453,12.485,17.14
454,11.821,18.176
455,11.189,19.267
456,10.588,20.417
457,10.017,21.628
458,9.474,22.905
459,8.958,24.25
460,8.466,25.667
461,7.998,27.159
462,7.552,28.728
463,7.128,30.369
464,6.725,32.08
465,6.341,33.856
466,5.976,35.693
467,5.628,37.588
468,5.297,39.536
469,4.983,41.532
470,4.684,43.57
471,4.4,45.646
472,4.131,47.754
473,3.875,49.889
474,3.632,52.044
475,3.402,54.214
476,3.183,56.391
477,2.977,58.571
478,2.781,60.746
479,2.596,62.911
480,2.422,65.058
481,2.257,67.181
482,2.101,69.274
483,1.955,71.331
484,1.817,73.345
485,1.688,75.311
486,1.567,77.222
487,1.453,79.073
488,1.347,80.858
489,1.248,82.573
490,1.156,84.211
491,1.07,85.769
492,0.99,87.242
493,0.917,88.627
494,0.849,89.918
495,0.786,91.12
496,0.729,92.233
497,0.677,93.259
498,0.63,94.202
499,0.587,95.064
500,0.548,95.846
501,0.514,96.551
502,0.483,97.181
