x,¼¤·¢,·¢Éä
300,10.031,0
301,9.926,0
302,9.739,0
303,9.555,0
304,9.376,0
305,9.205,0
306,9.044,0
307,8.896,0
308,8.761,0
309,8.643,0
310,8.545,0
311,8.468,0
312,8.415,0
313,8.389,0
314,8.393,0
315,8.429,0
316,8.5,0
317,8.607,0
318,8.746,0
319,8.916,0
320,9.112,0
321,9.332,0
322,9.573,0
323,9.832,0
324,10.105,0
325,10.389,0
326,10.68,0
327,10.974,0
328,11.265,0
329,11.551,0
330,11.824,0
331,12.082,0
332,12.322,0
333,12.542,0
334,12.739,0
335,12.912,0
336,13.061,0
337,13.185,0
338,13.285,0
339,13.361,0
340,13.414,0
341,13.446,0
342,13.458,0
343,13.452,0
344,13.429,0
345,13.39,0
346,13.338,0
347,13.274,0
348,13.199,0
349,13.115,0
350,13.023,0
351,12.923,0
352,12.817,0
353,12.705,0
354,12.588,0
355,12.467,0
356,12.342,0
357,12.214,0
358,12.083,0
359,11.949,0
360,11.812,0
361,11.674,0
362,11.533,0
363,11.391,0
364,11.248,0
365,11.103,0
366,10.956,0
367,10.809,0
368,10.661,0
369,10.512,0
370,10.362,0
371,10.212,0
372,10.061,0
373,9.91,0
374,9.758,0
375,9.606,0
376,9.453,0
377,9.301,0
378,9.148,0
379,8.994,0
380,8.841,0
381,8.688,0
382,8.534,0
383,8.38,0
384,8.227,0
385,8.073,0
386,7.92,0
387,7.766,0
388,7.613,0
389,7.46,0
390,7.307,0
391,7.155,0
392,7.003,0
393,6.851,0
394,6.699,0
395,6.548,0
396,6.398,0
397,6.248,0
398,6.099,0
399,5.951,0
400,5.804,0
401,5.658,0
402,5.513,0
403,5.37,0
404,5.228,0
405,5.088,0
406,4.95,0
407,4.814,0
408,4.682,0
409,4.552,0
410,4.425,0
411,4.303,0
412,4.184,0
413,4.069,0
414,3.958,0
415,3.852,0
416,3.75,0
417,3.653,0
418,3.56,0
419,3.472,0
420,3.388,0
421,3.309,0
422,3.233,0
423,3.161,0
424,3.092,0
425,3.027,0
426,2.964,0
427,2.904,0
428,2.847,0
429,2.791,0
430,2.738,0
431,2.686,0
432,2.636,0
433,2.588,0
434,2.54,0
435,2.494,0
436,2.45,0
437,2.406,0
438,2.363,0
439,2.322,0
440,2.281,0
441,2.241,0
442,2.203,0
443,2.165,0
444,2.128,0
445,2.091,0
446,2.056,0
447,2.021,0
448,1.988,0
449,1.955,0
450,1.922,0
451,1.891,0
452,1.86,0
453,1.83,0
454,1.801,0
455,1.773,0
456,1.745,0
457,1.719,0
458,1.693,0
459,1.668,0
460,1.644,0
461,1.621,0
462,1.598,0
463,1.577,0
464,1.557,0
465,1.538,0
466,1.519,0
467,1.503,0
468,1.487,0
469,1.473,0
470,1.46,0
471,1.449,0
472,1.44,0
473,1.432,0
474,1.427,0
475,1.424,0
476,1.423,0
477,1.425,0
478,1.429,0
479,1.437,0
480,1.447,0
481,1.461,0
482,1.479,0
483,1.5,0
484,1.525,0
485,1.554,0
486,1.588,0
487,1.626,0
488,1.668,0
489,1.716,0
490,1.767,0
491,1.824,0
492,1.884,0
493,1.95,0
494,2.019,0
495,2.092,0
496,2.17,0
497,2.251,0
498,2.336,0
499,2.425,0
500,2.518,0
501,2.614,0
502,2.715,0
503,2.82,0
504,2.929,0
505,3.041,0
506,3.158,0
507,3.28,0
508,3.405,0
509,3.535,0
510,3.669,0
511,3.808,0
512,3.951,0
513,4.099,0
514,4.252,0
515,4.409,0
516,4.571,0
517,4.738,0
518,4.909,0
519,5.086,0
520,5.268,0
521,5.456,0
522,5.649,0
523,5.849,0
524,6.056,0
525,6.271,0
526,6.493,0
527,6.723,0
528,6.963,0
529,7.211,0
530,7.469,0
531,7.737,0
532,8.015,0
533,8.303,0
534,8.602,0
535,8.912,0
536,9.233,0
537,9.565,0
538,9.908,0
539,10.263,0
540,10.63,0
541,11.008,0
542,11.398,0
543,11.8,0
544,12.213,0
545,12.638,0
546,13.075,0
547,13.524,0
548,13.983,0
549,14.453,0
550,14.933,0
551,15.421,0
552,15.918,0
553,16.423,0
554,16.934,0
555,17.453,0
556,17.977,0
557,18.507,0
558,19.043,0
559,19.583,0
560,20.128,0
561,20.677,0
562,21.229,0
563,21.785,0
564,22.343,0
565,22.904,0
566,23.467,0
567,24.032,0
568,24.598,0
569,25.164,0
570,25.73,0
571,26.296,0
572,26.86,0
573,27.422,0
574,27.981,0
575,28.535,0
576,29.082,0
577,29.623,0
578,30.16,0
579,30.694,0
580,31.229,0
581,31.768,0
582,32.317,0
583,32.883,0
584,33.474,0
585,34.102,0
586,34.779,0
587,35.519,0
588,36.334,0
589,37.238,0
590,38.236,0
591,39.333,0
592,40.52,0
593,41.78,0
594,43.096,0
595,44.452,0
596,45.835,0
597,47.233,0
598,48.635,0
599,50.031,0
600,51.411,0
601,52.768,0
602,54.093,0
603,55.379,0
604,56.62,0
605,57.809,0
606,58.941,0
607,60.017,0
608,61.043,0
609,62.022,0
610,62.96,0
611,63.859,0
612,64.725,0
613,65.56,0
614,66.368,0
615,67.152,0
616,67.915,0
617,68.66,0
618,69.39,0
619,70.108,0
620,70.816,0
621,71.516,0
622,72.212,0
623,72.905,0
624,73.598,0
625,74.293,0
626,74.991,0
627,75.693,0
628,76.403,0
629,77.122,0
630,77.853,0
631,78.598,0
632,79.362,0
633,80.147,0
634,80.959,0
635,81.806,0
636,82.697,0.518
637,83.644,1.184
638,84.67,1.802
