x,¼¤·¢,·¢Éä
300,10,0
301,10.222,0
302,10.206,0
303,10.189,0
304,10.172,0
305,10.157,0
306,10.142,0
307,10.13,0
308,10.12,0
309,10.114,0
310,10.112,0
311,10.116,0
312,10.129,0
313,10.156,0
314,10.21,0
315,10.343,0
316,10.891,0
317,11.419,0
318,11.721,0
319,11.962,0
320,12.181,0
321,12.389,0
322,12.592,0
323,12.794,0
324,12.998,0
325,13.206,0
326,13.421,0
327,13.643,0
328,13.877,0
329,14.124,0
330,14.389,0
331,14.675,0
332,14.985,0
333,15.322,0
334,15.688,0
335,16.087,0
336,16.519,0
337,16.988,0
338,17.494,0
339,18.037,0
340,18.618,0
341,19.234,0
342,19.881,0
343,20.552,0
344,21.236,0
345,21.925,0
346,22.61,0
347,23.277,0
348,23.908,0
349,24.468,0
350,24.875,0
351,24.954,0
352,25.208,0
353,26.1,0
354,27.338,0
355,28.746,0
356,30.25,0
357,31.814,0
358,33.421,0
359,35.056,0
360,36.713,0
361,38.384,0
362,40.067,0
363,41.759,0
364,43.459,0
365,45.164,0
366,46.875,0
367,48.591,0
368,50.309,0
369,52.031,0
370,53.754,0
371,55.48,0
372,57.207,0
373,58.934,0
374,60.662,0
375,62.39,0
376,64.117,0
377,65.842,0
378,67.565,0
379,69.284,0
380,70.999,0
381,72.707,0
382,74.405,0
383,76.089,0
384,77.751,0
385,79.38,0
386,80.951,0
387,82.415,0
388,83.632,0
389,84.268,0
390,84.513,0
391,84.912,0
392,85.414,0
393,85.99,0
394,86.632,0
395,87.344,0
396,88.137,0
397,89.038,0
398,90.086,0
399,91.3,0
400,92.669,0
401,94.134,0
402,95.597,0
403,96.964,0
404,98.179,0
405,99.202,0
406,99.976,0
407,100.415,0
408,100.372,0
409,99.551,0
410,97.57,0
411,94.284,1.42
412,89.861,6.106
413,84.603,7.478
414,78.807,7.96
415,72.683,8.052
416,66.343,7.992
417,59.866,7.95
418,53.314,8.104
419,46.762,8.724
420,40.328,10.28
421,34.151,12.626
422,28.435,14.208
423,23.363,14.202
424,18.832,13.362
425,14.642,11.61
426,10.655,10.026
427,7.064,9.102
428,4.866,8.494
429,3.515,8.026
430,2.581,7.616
431,1.889,7.232
432,1.356,6.842
433,0.934,6.39
434,0.597,5.582
435,0.324,4.564
436,0.104,4.378
437,0,4.324
438,0,4.316
439,0,4.33
440,0,4.358
441,0,4.392
442,0,4.428
443,0,4.454
444,0,4.452
445,0,4.422
446,0,4.58
447,0,4.598
448,0,4.514
449,0,4.374
450,0,4.206
451,0,4.016
452,0,3.81
453,0,3.588
454,0,3.346
455,0,3.074
456,0,2.734
457,0,2.272
458,0,2.15
459,0,2.088
460,0,2.044
461,0,2.012
462,0,1.984
463,0,1.96
464,0,1.94
465,0,1.92
466,0,1.902
467,0.051,1.886
468,0.101,1.872
469,0.151,1.856
470,0.201,1.842
471,0.25,1.83
472,0.298,1.816
473,0.345,1.804
474,0.391,1.792
475,0.436,1.78
476,0.479,1.768
477,0.521,1.758
478,0.562,1.746
479,0.601,1.736
480,0.64,1.724
481,0.678,1.714
482,0.715,1.704
483,0.753,1.694
484,0.79,1.684
485,0.827,1.674
486,0.864,1.664
487,0.901,1.656
488,0.94,1.646
489,0.979,1.638
490,1.019,1.63
491,1.06,1.62
492,1.102,1.612
493,1.146,1.604
494,1.192,1.596
495,1.24,1.588
496,1.29,1.582
497,1.343,1.574
498,1.398,1.566
499,1.457,1.56
500,1.518,1.554
501,1.583,1.546
502,1.652,1.54
503,1.724,1.534
504,1.801,1.528
505,1.883,1.522
506,1.969,1.518
507,2.061,1.512
508,2.158,1.508
509,2.261,1.502
510,2.37,1.498
511,2.486,1.494
512,2.609,1.49
513,2.74,1.486
514,2.879,1.482
515,3.026,1.48
516,3.182,1.476
517,3.348,1.474
518,3.524,1.472
519,3.711,1.47
520,3.909,1.468
521,4.117,1.466
522,4.335,1.464
523,4.564,1.464
524,4.802,1.464
525,5.049,1.464
526,5.305,1.464
527,5.571,1.464
528,5.844,1.464
529,6.125,1.466
530,6.414,1.468
531,6.71,1.47
532,7.013,1.472
533,7.321,1.476
534,7.634,1.478
535,7.952,1.482
536,8.274,1.488
537,8.598,1.492
538,8.924,1.498
539,9.249,1.504
540,9.574,1.51
541,9.895,1.518
542,10.21,1.526
543,10.516,1.534
544,10.81,1.544
545,11.086,1.554
546,11.337,1.566
547,11.554,1.578
548,11.724,1.59
549,11.837,1.604
550,11.886,1.62
551,11.866,1.636
552,11.776,1.654
553,11.628,1.674
554,11.447,1.694
555,11.266,1.716
556,11.118,1.742
557,11.024,1.768
558,10.991,1.798
559,11.019,1.83
560,11.104,1.864
561,11.237,1.904
562,11.408,1.946
563,11.609,1.994
564,11.833,2.048
565,12.077,2.108
566,12.338,2.174
567,12.615,2.252
568,12.905,2.34
569,13.207,2.442
570,13.521,2.566
571,13.845,2.718
572,14.18,2.914
573,14.524,3.192
574,14.879,3.682
575,15.243,10.19
576,15.618,12.498
577,16.004,14.652
578,16.402,16.844
579,16.815,19.166
580,17.246,21.636
581,17.703,24.272
582,18.192,27.096
583,18.701,30.156
584,19.143,33.528
585,19.15,37.352
586,18.66,41.778
587,18.053,46.79
588,17.436,52.148
589,16.815,57.39
590,16.189,62.24
591,15.557,66.928
592,14.921,71.708
593,14.28,76.832
594,13.632,82.502
595,12.978,87.896
596,12.316,92.11
597,11.646,95.05
598,10.966,96.944
599,10.275,98.04
600,9.568,98.562
601,8.843,98.69
602,8.098,98.52
603,7.335,98.112
604,6.559,97.496
605,5.776,96.692
606,4.995,95.708
607,4.233,94.542
608,3.509,93.186
609,2.85,91.61
610,2.283,89.764
611,1.83,87.608
612,1.487,85.122
613,1.24,82.324
614,1.073,79.298
615,0.972,76.196
