x,¼¤·¢,·¢Éä
402,7.005,0
403,6.743,0
404,6.47,0
405,6.2,0
406,5.935,0
407,5.675,0
408,5.422,0
409,5.177,0
410,4.942,0
411,4.718,0
412,4.506,0.127
413,4.307,0.278
414,4.122,0.429
415,3.952,0.579
416,3.798,0.729
417,3.66,0.878
418,3.54,1.027
419,3.438,1.176
420,3.354,1.324
421,3.288,1.471
422,3.239,1.618
423,3.206,1.765
424,3.189,1.911
425,3.187,2.057
426,3.199,2.202
427,3.226,2.347
428,3.267,2.491
429,3.32,2.635
430,3.387,2.778
431,3.467,2.921
432,3.559,3.063
433,3.663,3.205
434,3.779,3.346
435,3.907,3.486
436,4.047,3.626
437,4.198,3.765
438,4.36,3.904
439,4.534,4.042
440,4.723,4.179
441,4.928,4.316
442,5.152,4.452
443,5.398,4.587
444,5.667,4.722
445,5.961,4.856
446,6.282,4.989
447,6.631,5.122
448,7.01,5.254
449,7.42,5.385
450,7.861,5.515
451,8.335,5.645
452,8.842,5.774
453,9.382,5.902
454,9.956,6.029
455,10.563,6.155
456,11.204,6.28
457,11.878,6.405
458,12.585,6.528
459,13.325,6.651
460,14.096,6.772
461,14.898,6.893
462,15.729,7.012
463,16.589,7.131
464,17.479,7.248
465,18.398,7.364
466,19.346,7.48
467,20.325,7.594
468,21.336,7.706
469,22.379,7.818
470,23.457,7.928
471,24.571,8.037
472,25.725,8.145
473,26.922,8.251
474,28.166,8.356
475,29.463,8.46
476,30.82,8.562
477,32.247,8.662
478,33.757,8.761
479,35.37,8.858
480,37.116,8.953
481,39.027,9.047
482,41.133,9.139
483,43.474,9.229
484,46.099,9.317
485,49.065,9.403
486,52.409,9.486
487,56.025,9.568
488,59.314,9.647
489,61.523,9.724
490,62.818,9.799
491,63.628,9.871
492,64.955,9.94
493,67.145,10.007
494,67.911,10.071
495,67.424,10.131
496,66.484,10.189
497,65.373,10.243
498,64.206,10.294
499,63.035,10.342
500,61.878,10.385
501,60.72,10.425
502,59.545,10.46
503,58.34,10.492
504,57.089,10.518
505,55.769,10.54
506,54.342,10.557
507,52.736,10.568
508,50.879,10.574
509,48.803,10.574
510,46.803,10.568
511,45.705,10.555
512,46.031,10.535
513,47.089,10.508
514,48.399,10.473
515,49.803,10.429
516,51.243,10.378
517,52.695,10.317
518,54.151,10.247
519,55.606,10.167
520,57.058,10.077
521,58.506,9.977
522,59.949,9.866
523,61.384,9.744
524,62.812,9.611
525,64.23,9.469
526,65.638,9.316
527,67.033,9.155
528,68.414,8.987
529,69.778,8.812
530,71.123,8.633
531,72.442,8.452
532,73.732,8.271
533,74.984,8.092
534,76.187,7.917
535,77.333,7.748
536,78.41,7.586
537,79.406,7.432
538,80.308,7.289
539,81.106,7.155
540,81.796,7.032
541,82.38,6.92
542,82.866,6.818
543,83.271,6.727
544,83.614,6.646
545,83.918,6.575
546,84.207,6.512
547,84.498,6.456
548,84.81,6.406
549,85.157,6.362
550,85.556,6.324
551,86.021,6.29
552,86.57,6.261
553,87.223,6.237
554,88.003,6.218
555,88.935,6.203
556,90.033,6.193
557,91.268,6.189
558,92.597,6.191
559,93.973,6.201
560,95.341,6.227
561,96.639,6.294
562,97.803,6.47
