Wavelength,Alexa647,Alexa700,APC,FITC,PacificBlue,PE,PE_Cy7,Percp_Cy5_5,BV510,PE_Dazzle,BV605,APC_Cy7,BV421,Alexa488,DAPI,eFluor780,SB436,SB702
300,0,0,0,53.64077,23.90028,9.02470684,0,0,79.373,0,10,10.031,7.54,37.19916,25.06955178,3.441797922,14.21041758,10.01493155
301,0,0,0,50.56611,20.43135,9.222713572,0,0,80.166,0,10.222,9.926,7.479,35.14017,25.36983882,3.312273208,14.11013741,9.982553783
302,0,0,0,47.83239,16.99397,9.433920753,0,0,81.564,0,10.206,9.739,7.443,33.64416,25.73636564,3.281622322,14.0340253,9.93810042
303,0,0,0,45.06755,14.28525,9.615426925,0,0,82.957,0,10.189,9.555,7.43,32.29578,26.17354824,3.245039006,14.13874155,9.881977256
304,0,0,0,43.00967,12.05937,9.937737883,0,0,84.34,0,10.172,9.376,7.433,30.89032,26.72996246,3.143198964,13.77850245,9.801510225
305,0,0,0,40.99052,10.59369,10.21274723,0,0,85.708,0,10.157,9.205,7.452,29.92952,27.41002429,3.04828009,13.59855114,9.738308661
306,0,0,0,39.41028,8.947124,10.54264845,0,0,87.057,0,10.142,9.044,7.483,29.11282,28.17840583,2.90491304,13.41589036,9.643292351
307,0,0,0,38.38514,8.417903,10.71326425,0,0,88.384,0,10.13,8.896,7.525,28.16797,29.03952307,2.920732853,13.27861993,9.566550796
308,0,0,0,37.12459,7.820037,10.75506567,0,0,89.683,0,10.12,8.761,7.578,27.83904,30.10333407,2.863386033,13.24584766,9.492071153
309,0,0,0,36.07743,7.064007,10.70556399,0,0,90.949,0,10.114,8.643,7.64,27.49673,31.22102009,2.799118045,13.15419967,9.43886643
310,0,0,0,36.44192,6.511595,10.29415,0,0,92.178,0,10.112,8.545,7.711,27.28591,32.52329433,2.880194584,13.21838901,9.414284482
311,0,0,0,35.69774,6.363636,9.739621147,0,0,93.363,0,10.116,8.468,7.791,27.25835,34.07816295,2.772422112,13.20424096,9.37843892
312,0,0,0,35.37122,6.150279,9.021406728,0,0,94.498,0,10.129,8.415,7.879,27.42783,35.75182159,2.801095522,13.06541261,9.352395741
313,0,0,0,35.61421,5.9782,8.13587662,0,0,95.577,0,10.156,8.389,7.976,27.36878,37.58445573,2.732872581,13.03365395,9.347211262
314,0,0,0,34.9604,5.871521,7.234945988,0,0,96.592,0,10.21,8.393,8.081,27.42783,39.62905719,2.64190866,12.98022699,9.346548378
315,0,0,0,34.67944,5.742115,6.369216553,0,0,97.534,0,10.343,8.429,8.195,27.31957,41.76197836,2.692334312,13.10897103,9.368801639
316,0,0,0,33.96639,5.82514,5.627791345,0,0,98.394,0,10.891,8.5,8.317,26.97293,43.90328991,2.574674458,13.16287892,9.397206328
317,0,0,0,33.86691,5.801948,4.989769652,0,0,99.161,0,11.419,8.607,8.447,26.67983,46.1249724,2.722985199,13.22916304,9.43170384
318,0,0,0,32.9944,5.59833,4.439750952,0,0,99.823,0,11.721,8.746,8.587,25.92395,48.57142857,2.397690307,13.31759452,9.501053827
319,0,0,0,32.25023,5.681355,4.058037973,0,0,100,0,11.962,8.916,8.735,25.18972,50.91190108,2.546989786,13.41413065,9.553362831
320,0,0,0,30.9669,5.69063,3.774228324,0,0,100,0,12.181,9.112,8.892,24.29999,53.33186134,2.303760172,13.41115228,9.648367187
321,0,0,0,30.07768,5.820965,3.493718786,0,0,100,0,12.389,9.332,9.058,23.27837,55.65025392,2.242458399,13.49166181,9.732746973
322,0,0,0,29.16721,6.17347,3.330913251,0,0,100,0,12.592,9.573,9.233,21.98491,58.02605432,2.199942653,13.71138508,9.82516473
323,0,0,0,27.1845,6.377087,3.315512727,0,0,100,0,12.794,9.832,9.419,20.97707,60.3444469,2.241469661,13.79066664,9.941925306
324,0,0,0,25.71969,6.405381,3.241810222,0,0,100,0,12.998,10.105,9.615,19.91628,62.69816737,2.339354749,13.88133644,10.08638263
325,0,0,0,24.71657,6.65538,3.213209249,0,0,99.741,0,13.206,10.389,9.822,18.64073,64.97681607,2.27014307,13.83222021,10.25085224
326,0,0,0,23.13785,7.012523,3.266011044,0,0,98.606,0,13.421,10.68,10.041,17.57383,67.13623316,2.238503446,14.03959196,10.44172748
327,0,0,0,21.19311,6.998609,3.347413812,0,0,96.965,0,13.643,10.974,10.273,16.76658,69.27798631,2.149517001,14.37893171,10.61838178
328,0,0,0,20.41932,7.550557,3.379314897,0,0,94.697,0,13.877,11.265,10.52,15.8237,71.33141974,2.213784989,14.31220161,10.84377944
329,0,0,0,18.94539,7.763915,3.432116692,0,0,91.778,0,14.124,11.551,10.785,14.92609,73.79553985,2.096125135,14.29712244,11.06493312
330,0,0,0,18.26197,8.056586,3.565221218,0,0,88.272,0,14.389,11.824,11.071,14.39264,75.58843012,2.120843591,14.58438997,11.32870016
331,0,0,0,17.37351,8.4782,3.686225332,0,0,84.343,0,14.675,12.082,11.38,13.934,77.27533672,2.106012517,14.8281839,11.57031764
332,0,0,0,16.46986,8.413265,3.78852881,0,0,80.239,0,14.985,12.322,11.716,13.63105,79.04173107,2.184122841,15.36979755,11.82045379
333,0,0,0,15.64975,8.784323,3.934833784,0,0,76.216,0,15.322,12.542,12.08,13.40449,80.68447781,2.181156626,15.39704742,12.11044068
