Wavelength,Alexa Fluor 647,Alexa Fluor 647,Alexa Fluor 700,Alexa Fluor 700,APC ,APC ,FITC,FITC,Pacific Blue,Pacific Blue,"PE (R-PE, R-phycoerythrin)","PE (R-PE, R-phycoerythrin)",PE-Cy7,PE-Cy7,PerCP-Cy5.5,PerCP-Cy5.5
Wavelength,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission
300,0,0,0,0,0,0,53.64077,0,23.90028,0,9.02470684,0,0,0,0,0
301,0,0,0,0,0,0,50.56611,0,20.43135,0,9.222713572,0,0,0,0,0
302,0,0,0,0,0,0,47.83239,0,16.99397,0,9.433920753,0,0,0,0,0
303,0,0,0,0,0,0,45.06755,0,14.28525,0,9.615426925,0,0,0,0,0
304,0,0,0,0,0,0,43.00967,0,12.05937,0,9.937737883,0,0,0,0,0
305,0,0,0,0,0,0,40.99052,0,10.59369,0,10.21274723,0,0,0,0,0
306,0,0,0,0,0,0,39.41028,0,8.947124,0,10.54264845,0,0,0,0,0
307,0,0,0,0,0,0,38.38514,0,8.417903,0,10.71326425,0,0,0,0,0
308,0,0,0,0,0,0,37.12459,0,7.820037,0,10.75506567,0,0,0,0,0
309,0,0,0,0,0,0,36.07743,0,7.064007,0,10.70556399,0,0,0,0,0
310,0,0,0,0,0,0,36.44192,0,6.511595,0,10.29415,0,0,0,0,0
311,0,0,0,0,0,0,35.69774,0,6.363636,0,9.739621147,0,0,0,0,0
312,0,0,0,0,0,0,35.37122,0,6.150279,0,9.021406728,0,0,0,0,0
313,0,0,0,0,0,0,35.61421,0,5.9782,0,8.13587662,0,0,0,0,0
314,0,0,0,0,0,0,34.9604,0,5.871521,0,7.234945988,0,0,0,0,0
315,0,0,0,0,0,0,34.67944,0,5.742115,0,6.369216553,0,0,0,0,0
316,0,0,0,0,0,0,33.96639,0,5.82514,0,5.627791345,0,0,0,0,0
317,0,0,0,0,0,0,33.86691,0,5.801948,0,4.989769652,0,0,0,0,0
318,0,0,0,0,0,0,32.9944,0,5.59833,0,4.439750952,0,0,0,0,0
319,0,0,0,0,0,0,32.25023,0,5.681355,0,4.058037973,0,0,0,0,0
320,0,0,0,0,0,0,30.9669,0,5.69063,0,3.774228324,0,0,0,0,0
321,0,0,0,0,0,0,30.07768,0,5.820965,0,3.493718786,0,0,0,0,0
